10.1002-admi.202000831
10.1002-advs.201801365
10.1002-bkcs.12202
10.1002-chem.201905105
10.1002-cplu.201402214
10.1007-s10008-016-3373-6
10.1007-s10853-020-05214-0
10.1007-s10965-018-1531-5
10.1007-s12274-011-0121-1
10.1007-s12598-020-01630-y
10.1007-s13538-020-00845-9
10.1007-s40843-017-9138-1
10.1016-B978-0-12-813794-9.00008-9
10.1016-j.apsusc.2017.03.297
10.1016-j.apsusc.2019.03.345
10.1016-j.apsusc.2019.06.238
10.1016-j.apsusc.2019.143872
10.1016-j.apsusc.2020.147978
10.1016-j.cej.2017.08.089
10.1016-j.cej.2020.124119
10.1016-j.cej.2020.126632
10.1016-j.colsurfa.2019.124039
10.1016-j.elecom.2014.03.001
10.1016-j.electacta.2015.02.185
10.1016-j.electacta.2017.05.064
10.1016-j.electacta.2017.08.084
10.1016-j.electacta.2019.06.112
10.1016-j.electacta.2019.135061
10.1016-j.electacta.2021.137774
10.1016-j.ijhydene.2014.04.202
10.1016-j.ijhydene.2016.05.157
10.1016-j.inoche.2020.107885
10.1016-j.jallcom.2015.09.221
10.1016-j.jallcom.2017.07.316
10.1016-j.jallcom.2019.03.014
10.1016-j.jallcom.2021.161435
10.1016-j.jcis.2016.09.001
10.1016-j.jcis.2017.06.086
10.1016-j.jechem.2021.03.045
10.1016-j.jelechem.2016.12.027
10.1016-j.jelechem.2018.08.025
10.1016-j.jiec.2016.03.025
10.1016-j.jpowsour.2018.11.074
10.1016-j.matchemphys.2020.123581
10.1016-j.matlet.2021.130013
10.1016-j.mee.2019.111205
10.1016-j.mtener.2018.09.006
10.1016-j.nanoen.2014.11.015
10.1016-j.nanoen.2015.06.018
10.1016-j.surfin.2018.11.006
10.1016-j.vacuum.2019.108965
10.1016-S0378-7753(01)00862-X
10.1021-acs.chemmater.5b04343
10.1021-acs.jpcc.7b06958
10.1021-acsaem.0c00314
10.1021-acsaem.0c00510
10.1021-acsaem.0c03218
10.1021-acsnano.8b06381
10.1021-acsomega.7b01762
10.1021-am5077183
10.1021-nn305750s
10.1021-sc400472z
10.1038-ncomms12122
10.1038-s41563-021-00954-z
10.1038-srep00981
10.1039-c1ee02293h
10.1039-c2jm30243h
10.1039-c3nr02958a
10.1039-c3ra42610f
10.1039-c5cc00728c
10.1039-c5ra15967a
10.1039-c5ra15967a
10.1039-c5ta02876k
10.1039-c7ta07795e
10.1039-c8ta01379a
10.1039-c9ra05858c
10.1039-c9ta05180e
10.1039-c9ta05926a
10.1039-d0ta08600b
10.1063-1.4964787
10.1142-S1793604714300011
10.1680-jemmr.16.00151
10.3389-fenrg.2015.00039
10.3390-jcs4030087
10.3866-PKU.WHXB201611012
10.4028-www.scientific.net-SSP.266.105
